date,year,month,day,weekday,hour,demand,temperature
11/19/2004,2004,11,19,6,16,15229,58
11/19/2004,2004,11,19,6,17,16291,55
11/19/2004,2004,11,19,6,18,17202,52
11/19/2004,2004,11,19,6,19,16859,50
11/19/2004,2004,11,19,6,20,16235,48
11/19/2004,2004,11,19,6,21,15618,46
11/19/2004,2004,11,19,6,22,14752,43
11/19/2004,2004,11,19,6,23,13549,43
11/19/2004,2004,11,19,6,24,12297,42
11/20/2004,2004,11,20,7,1,11369,40
11/20/2004,2004,11,20,7,2,10841,39
11/20/2004,2004,11,20,7,3,10598,38
11/20/2004,2004,11,20,7,4,10511,37
11/20/2004,2004,11,20,7,5,10650,36
11/20/2004,2004,11,20,7,6,11155,35
11/20/2004,2004,11,20,7,7,12012,36
11/20/2004,2004,11,20,7,8,13022,36
11/20/2004,2004,11,20,7,9,14123,38
11/20/2004,2004,11,20,7,10,14628,40
11/20/2004,2004,11,20,7,11,14742,43
11/20/2004,2004,11,20,7,12,14631,45
11/20/2004,2004,11,20,7,13,14457,45
11/20/2004,2004,11,20,7,14,14281,45
11/20/2004,2004,11,20,7,15,14149,45
11/20/2004,2004,11,20,7,16,14363,45
11/20/2004,2004,11,20,7,17,15580,44
11/20/2004,2004,11,20,7,18,16321,44
11/20/2004,2004,11,20,7,19,16008,43
11/20/2004,2004,11,20,7,20,15430,43
11/20/2004,2004,11,20,7,21,14866,42
11/20/2004,2004,11,20,7,22,14135,41
11/20/2004,2004,11,20,7,23,13136,41
11/20/2004,2004,11,20,7,24,12037,41
11/21/2004,2004,11,21,1,1,11094,41
11/21/2004,2004,11,21,1,2,10509,41
11/21/2004,2004,11,21,1,3,10216,41
11/21/2004,2004,11,21,1,4,10079,41
11/21/2004,2004,11,21,1,5,10113,41
11/21/2004,2004,11,21,1,6,10382,41
11/21/2004,2004,11,21,1,7,10939,42
11/21/2004,2004,11,21,1,8,11739,41
11/21/2004,2004,11,21,1,9,12895,42
11/21/2004,2004,11,21,1,10,13805,43
11/21/2004,2004,11,21,1,11,14292,43
11/21/2004,2004,11,21,1,12,14569,43
11/21/2004,2004,11,21,1,13,14617,43
11/21/2004,2004,11,21,1,14,14516,44
11/21/2004,2004,11,21,1,15,14454,45
11/21/2004,2004,11,21,1,16,14671,45
11/21/2004,2004,11,21,1,17,15752,45
11/21/2004,2004,11,21,1,18,16618,45
11/21/2004,2004,11,21,1,19,16453,45
11/21/2004,2004,11,21,1,20,16019,46
11/21/2004,2004,11,21,1,21,15287,45
11/21/2004,2004,11,21,1,22,14265,45
11/21/2004,2004,11,21,1,23,12946,45
11/21/2004,2004,11,21,1,24,11692,45
11/22/2004,2004,11,22,2,1,10828,45
11/22/2004,2004,11,22,2,2,10405,45
11/22/2004,2004,11,22,2,3,10242,44
11/22/2004,2004,11,22,2,4,10231,43
11/22/2004,2004,11,22,2,5,10600,44
11/22/2004,2004,11,22,2,6,11834,43
11/22/2004,2004,11,22,2,7,14128,42
11/22/2004,2004,11,22,2,8,15460,42
11/22/2004,2004,11,22,2,9,15884,43
11/22/2004,2004,11,22,2,10,16016,45
11/22/2004,2004,11,22,2,11,16074,47
11/22/2004,2004,11,22,2,12,15993,48
11/22/2004,2004,11,22,2,13,15834,49
11/22/2004,2004,11,22,2,14,15771,49
11/22/2004,2004,11,22,2,15,15679,50
11/22/2004,2004,11,22,2,16,15797,49
11/22/2004,2004,11,22,2,17,17080,48
11/22/2004,2004,11,22,2,18,18138,46
11/22/2004,2004,11,22,2,19,17980,44
11/22/2004,2004,11,22,2,20,17512,43
11/22/2004,2004,11,22,2,21,16816,42
11/22/2004,2004,11,22,2,22,15598,41
11/22/2004,2004,11,22,2,23,14063,41
11/22/2004,2004,11,22,2,24,12600,39
11/23/2004,2004,11,23,3,1,11607,37
11/23/2004,2004,11,23,3,2,11070,38
11/23/2004,2004,11,23,3,3,10879,36
11/23/2004,2004,11,23,3,4,10890,35
11/23/2004,2004,11,23,3,5,11237,35
11/23/2004,2004,11,23,3,6,12451,34
11/23/2004,2004,11,23,3,7,14739,34
11/23/2004,2004,11,23,3,8,15959,33
11/23/2004,2004,11,23,3,9,16160,35
11/23/2004,2004,11,23,3,10,16145,39
11/23/2004,2004,11,23,3,11,16084,43
11/23/2004,2004,11,23,3,12,15949,45
11/23/2004,2004,11,23,3,13,15734,48
11/23/2004,2004,11,23,3,14,15641,49
11/23/2004,2004,11,23,3,15,15498,50
11/23/2004,2004,11,23,3,16,15651,49
11/23/2004,2004,11,23,3,17,16913,48
11/23/2004,2004,11,23,3,18,17894,46
11/23/2004,2004,11,23,3,19,17723,46
11/23/2004,2004,11,23,3,20,17292,45
11/23/2004,2004,11,23,3,21,16670,44
11/23/2004,2004,11,23,3,22,15555,43
11/23/2004,2004,11,23,3,23,13987,43
11/23/2004,2004,11,23,3,24,12469,43
11/24/2004,2004,11,24,4,1,11472,43
11/24/2004,2004,11,24,4,2,10924,43
11/24/2004,2004,11,24,4,3,10654,43
