date,year,month,day,weekday,hour,demand
1/11/2018,2018,1,11,5,19,7599.5
1/11/2018,2018,1,11,5,20,7761
1/11/2018,2018,1,11,5,21,7637
1/11/2018,2018,1,11,5,22,6874
1/11/2018,2018,1,11,5,23,5985
1/12/2018,2018,1,12,6,0,5677
1/12/2018,2018,1,12,6,1,5184
1/12/2018,2018,1,12,6,2,4929
1/12/2018,2018,1,12,6,3,4770
1/12/2018,2018,1,12,6,4,4623
1/12/2018,2018,1,12,6,5,4559
1/12/2018,2018,1,12,6,6,4532
1/12/2018,2018,1,12,6,7,4738
1/12/2018,2018,1,12,6,8,4961
1/12/2018,2018,1,12,6,9,5319
1/12/2018,2018,1,12,6,10,5302
1/12/2018,2018,1,12,6,11,5302
1/12/2018,2018,1,12,6,12,5357
1/12/2018,2018,1,12,6,13,5403
1/12/2018,2018,1,12,6,14,4923
1/12/2018,2018,1,12,6,15,4841
1/12/2018,2018,1,12,6,16,4917
1/12/2018,2018,1,12,6,17,5263
1/12/2018,2018,1,12,6,18,6505
1/12/2018,2018,1,12,6,19,6751.5
1/12/2018,2018,1,12,6,20,6998
1/12/2018,2018,1,12,6,21,6881
1/12/2018,2018,1,12,6,22,6202
1/12/2018,2018,1,12,6,23,5811
1/13/2018,2018,1,13,7,0,5307
1/13/2018,2018,1,13,7,1,4865
1/13/2018,2018,1,13,7,2,4639
1/13/2018,2018,1,13,7,3,4469
1/13/2018,2018,1,13,7,4,4359
1/13/2018,2018,1,13,7,5,4237
1/13/2018,2018,1,13,7,6,4474
1/13/2018,2018,1,13,7,7,4831
1/13/2018,2018,1,13,7,8,5584
1/13/2018,2018,1,13,7,9,6035
1/13/2018,2018,1,13,7,10,6115
1/13/2018,2018,1,13,7,11,5963
1/13/2018,2018,1,13,7,12,6128
1/13/2018,2018,1,13,7,13,6237
1/13/2018,2018,1,13,7,14,5995
1/13/2018,2018,1,13,7,15,5980
1/13/2018,2018,1,13,7,16,5888
1/13/2018,2018,1,13,7,17,6162
1/13/2018,2018,1,13,7,18,7365
